ID     Name       C      Math   Eng    Avg   
1003   Wang       95.00  88.00  92.00  91.67 
1007   Zhao       91.00  89.00  95.00  91.67 
1012   He         90.00  93.00  91.00  91.33 
1001   Zhang      85.00  90.00  78.00  84.33 
1014   Lin        84.00  79.00  86.00  83.00 
1006   Chen       88.00  75.00  84.00  82.33 
1010   Wu         83.00  76.00  88.00  82.33 
1009   Zhou       77.00  82.00  79.00  79.33 
1005   Liu        72.00  81.00  69.00  74.00 
1015   Ma         73.00  69.00  75.00  72.33 
1002   Li         60.00  70.00  80.00  70.00 
1013   Gao        68.00  72.00  70.00  70.00 
1008   Sun        67.00  58.00  73.00  66.00 
1004   Zhang      55.00  66.00  70.00  63.67 
1011   Xu         59.00  64.00  60.00  61.00 
